1000001	1000002	0
1000001	1000003	0
1000001	1000004	0
1000001	1000005	0
1000001	1000006	0
1000001	1000007	0
1000001	1000008	0
1000002	1000003	0
1000002	1000004	0
1000002	1000005	0
1000002	1000006	0
1000002	1000007	0
1000002	1000008	0
1000003	1000004	0
1000003	1000005	0
1000003	1000006	0
1000003	1000007	0
1000003	1000008	0
1000004	1000005	0
1000004	1000006	0
1000004	1000007	0
1000004	1000008	0
1000005	1000006	0
1000005	1000007	0
1000005	1000008	0
1000006	1000007	0
1000006	1000008	0
1000007	1000008	0
